

--------------------------------------------------------------------------------

Logging Started...
[2/19/2017] [12:06:28.900] [00304]  PeerBlock Starting
[2/19/2017] [12:06:28.901] [00304]  PeerBlock 1.2
[2/19/2017] [12:06:28.901] [00304]  Flushed tracelog
[2/19/2017] [12:06:28.901] [00304]  Running on OS: UNKNOWN OS 6.3 64-bit - Build:[9600], SP:[0.0]
[2/19/2017] [12:06:28.901] [00304]  User running as Admin
[2/19/2017] [12:06:28.901] [00304]  Created program mutex
[2/19/2017] [12:06:28.904] [00304]  Initialized common controls
[2/19/2017] [12:06:28.904] [00304]  Registered color picker
[2/19/2017] [12:06:28.905] [00304]  Initialized winsock
[2/19/2017] [12:06:28.905] [00304]  Successfully PreventSetUnhandledExceptionFilter()
[2/19/2017] [12:06:28.905] [00304]  Creating main UI window
[2/19/2017] [12:06:32.030] [01392]  [UpdateThread] [_Process]    update url:[http://update.peerblock.com/pb_update.php?build=41401140693]
[2/19/2017] [12:06:32.030] [01392]  [UpdateThread] [_Process]    homepage url:[http://update.peerblock.com/latest-release]
[2/19/2017] [12:06:32.030] [01392]  [UpdateThread] [_Process]    agent string:[PeerBlock/1.2.0.693]
[2/19/2017] [12:06:32.038] [01392]  [UpdateThread] [_Process]    not updating dynamic list(s)
[2/19/2017] [12:06:32.039] [01392]  [UpdateThread] [_Process]    performing updates
[2/19/2017] [12:06:34.344] [01392]  [UpdateThread] [_Process]    response code: [200]
[2/19/2017] [12:06:34.345] [01392]  [UpdateThread] [_Process]    successfully contacted URL; code:[200]
[2/19/2017] [12:06:34.345] [01392]  [UpdateThread] [_Process]    found list var; no new program version found
[2/19/2017] [12:06:34.345] [01392]  [UpdateThread] [_Process]    performing cleanup
[2/19/2017] [12:06:34.345] [01392]  [UpdateThread] [_Process]    Done updating.
[2/19/2017] [12:06:34.350] [01392]  [UpdateThread] [_Process]    finished downloading updates
[2/19/2017] [12:06:34.350] [01392]  [UpdateThread] [_Process]    starting countdown, since UpdateCountdown > 0
[2/19/2017] [12:06:35.340] [00304]  [UpdateLists_OnTimer]  > Entering routine.
[2/19/2017] [12:06:35.344] [00304]  [UpdateLists_OnTimer]  < Leaving routine.
[2/19/2017] [12:06:36.350] [00304]  [UpdateLists_OnTimer]  > Entering routine.
[2/19/2017] [12:06:36.350] [00304]  [UpdateLists_OnTimer]  < Leaving routine.
[2/19/2017] [12:06:36.556] [00304]  [UpdateLists_OnCommand]    IDC_CLOSE
[2/19/2017] [12:06:36.559] [00304]  [UpdateLists_OnDestroy]  > Entering routine.
[2/19/2017] [12:06:36.559] [00304]  [UpdateLists_OnDestroy]    loading lists
[2/19/2017] [12:06:36.559] [00304]  [UpdateLists_OnDestroy]    resetting update-thread
[2/19/2017] [12:06:36.559] [00304]  [UpdateLists_OnDestroy]    updating list columns
[2/19/2017] [12:06:36.559] [00304]  [UpdateLists_OnDestroy]  < Leaving routine.
[2/19/2017] [12:06:36.561] [00304]  [UpdateLists]    dialog box finished running
[2/19/2017] [12:06:36.561] [00304]  [UpdateLists]    resetting LastUpdate time
[2/19/2017] [12:06:36.561] [00304]  [UpdateLists]  < Leaving routine.
[2/19/2017] [12:06:36.561] [00304]  [LoadLists]  > Entering routine.
[2/19/2017] [12:06:36.561] [00304]  [LoadLists]    generating cache
[2/19/2017] [12:06:36.561] [00304]  [GenCache]  > Entering routine.
[2/19/2017] [12:06:36.562] [00304]  [GenCache]    cache not valid
[2/19/2017] [12:06:36.562] [00304]  [GenCache]    no window, creating dialog box
[2/19/2017] [12:06:36.564] [00304]  [Loading_DlgProc]    msg: WM_INITDIALOG.
[2/19/2017] [12:06:36.564] [00304]  [Loading_OnInitDialog]  > Entering routine.
[2/19/2017] [12:06:36.565] [00304]  [Loading_OnInitDialog]    spawning thread to handle loading
[2/19/2017] [12:06:36.565] [00304]  [Loading_OnInitDialog]  < Leaving routine.
[2/19/2017] [12:06:36.567] [04728]  [LoadingThread] [operator()]  > Entering routine.
[2/19/2017] [12:06:36.568] [04728]  [GenCacheFuncs] [Init]  > Entering routine.
[2/19/2017] [12:06:36.568] [04728]  [GenCacheFuncs] [Init]    num static lists: [0]
[2/19/2017] [12:06:36.569] [04728]  [GenCacheFuncs] [Init]    num dynamic lists: [0]
[2/19/2017] [12:06:36.569] [04728]  [GenCacheFuncs] [Init]  < Leaving routine.
[2/19/2017] [12:06:36.569] [04728]  [GenCacheFuncs] [Process]  > Entering routine.
[2/19/2017] [12:06:36.569] [04728]  [GenCacheFuncs] [Process]    opt
[2/19/2017] [12:06:36.569] [04728]  [GenCacheFuncs] [Process]  < Leaving routine.
[2/19/2017] [12:06:36.569] [04728]  [LoadingThread] [operator()]    updating progress
[2/19/2017] [12:06:36.572] [04728]  [GenCacheFuncs] [Process]  > Entering routine.
[2/19/2017] [12:06:36.572] [04728]  [GenCacheFuncs] [Process]    save
[2/19/2017] [12:06:36.710] [04728]  [GenCacheFuncs] [Process]  < Leaving routine.
[2/19/2017] [12:06:36.710] [04728]  [LoadingThread] [operator()]    updating progress
[2/19/2017] [12:06:36.711] [04728]  [GenCacheFuncs] [Process]  > Entering routine.
[2/19/2017] [12:06:36.711] [04728]  [GenCacheFuncs] [Process]    default
[2/19/2017] [12:06:36.711] [04728]  [GenCacheFuncs] [Process]  < Leaving routine.
[2/19/2017] [12:06:36.901] [04728]  [LoadingThread] [operator()]  < Leaving routine.
[2/19/2017] [12:06:36.904] [00304]  [Loading_DlgProc]    msg: WM_DESTROY.
[2/19/2017] [12:06:36.905] [00304]  [GenCache]  < Leaving routine (true).
[2/19/2017] [12:06:36.905] [00304]  [LoadLists]    performing random setup
[2/19/2017] [12:06:36.905] [00304]  [LoadLists]    setting up filter-driver ranges
[2/19/2017] [12:06:36.905] [00304]  [LoadLists]    driver ranges set
[2/19/2017] [12:06:36.909] [00304]  [LoadLists]  < Exiting routine.
[2/19/2017] [12:06:36.910] [00304]  Created main UI window
[2/19/2017] [12:06:36.910] [00304]  [Configuration] [Save]  > Entering routine.
[2/19/2017] [12:06:37.349] [00304]  [Configuration] [Save]  < Leaving routine.
[2/19/2017] [12:06:37.350] [00304]  Starting message-loop
[2/19/2017] [12:06:41.230] [00304]  [Main_OnVisible]  > Entering routine.
[2/19/2017] [12:06:41.230] [00304]  [Main_OnVisible]    visible:[FALSE]
[2/19/2017] [12:06:41.230] [00304]  [Main_OnVisible]    index != [-1], hiding window based on tab
[2/19/2017] [12:06:41.230] [00304]  [Main_OnVisible]    about to hide window
[2/19/2017] [12:06:41.235] [00304]  [Main_OnVisible]    about to SetProcessWorkingSetSize
[2/19/2017] [12:06:41.239] [00304]  [Main_OnVisible]  < Leaving routine.
[2/19/2017] [12:06:42.209] [01040]  [LogFilterAction] [operator()]    Stopping default Allowed Packet logging
[2/19/2017] [12:06:46.847] [00304]  checking _tstat64
[2/19/2017] [12:06:46.848] [00304]  checking filesize against user
