"ID","Category","Name","Severity","Result","Recommended","TestResult","SeverityFinding"
"1419","Windows Firewall","Inbound Connections (Domain Profile)","Passed","Registry value created/modified","","Passed",""
"1420","Windows Firewall","Outbound Connections (Domain Profile)","Passed","Registry value created/modified","","Passed",""
"1421","Windows Firewall","Log size limit (Domain Profile)","Passed","Registry value created/modified","","Passed",""
"1422","Windows Firewall","Log dropped packets (Domain Profile)","Passed","Registry value created/modified","","Passed",""
"1423","Windows Firewall","Log successful connections (Domain Profile)","Passed","Registry value created/modified","","Passed",""
"1424","Windows Firewall","EnableFirewall (Private Profile)","Passed","Registry value created/modified","","Passed",""
"1425","Windows Firewall","Inbound Connections (Private Profile)","Passed","Registry value created/modified","","Passed",""
"1426","Windows Firewall","Outbound Connections (Private Profile)","Passed","Registry value created/modified","","Passed",""
"1427","Windows Firewall","Log size limit (Private Profile)","Passed","Registry value created/modified","","Passed",""
"1428","Windows Firewall","Log dropped packets (Private Profile)","Passed","Registry value created/modified","","Passed",""
"1429","Windows Firewall","Log successful connections (Private Profile)","Passed","Registry value created/modified","","Passed",""
"1430","Windows Firewall","EnableFirewall (Public Profile)","Passed","Registry value created/modified","","Passed",""
"1431","Windows Firewall","Inbound Connections (Public Profile)","Passed","Registry value created/modified","","Passed",""
"1432","Windows Firewall","Outbound Connections (Public Profile)","Passed","Registry value created/modified","","Passed",""
"1433","Windows Firewall","Log size limit (Public Profile)","Passed","Registry value created/modified","","Passed",""
"1434","Windows Firewall","Log dropped packets (Public Profile)","Passed","Registry value created/modified","","Passed",""
"1435","Windows Firewall","Log successful connections (Public Profile)","Passed","Registry value created/modified","","Passed",""
"1500","Advanced Audit Policy Configuration","Credential Validation","Passed","Audit policy set","","Passed",""
"1501","Advanced Audit Policy Configuration","Security Group Management","Passed","Audit policy set","","Passed",""
"1502","Advanced Audit Policy Configuration","User Account Management","Passed","Audit policy set","","Passed",""
"1503","Advanced Audit Policy Configuration","DPAPI Activity","Passed","Audit policy set","","Passed",""
"1504","Advanced Audit Policy Configuration","Plug and Play Events","Passed","Audit policy set","","Passed",""
"1505","Advanced Audit Policy Configuration","Process Creation","Passed","Audit policy set","","Passed",""
"1506","Advanced Audit Policy Configuration","Account Lockout","Passed","Audit policy set","","Passed",""
"1507","Advanced Audit Policy Configuration","Group Membership","Passed","Audit policy set","","Passed",""
"1508","Advanced Audit Policy Configuration","Logon","Passed","Audit policy set","","Passed",""
"1509","Advanced Audit Policy Configuration","Other Logon/Logoff Events","Passed","Audit policy set","","Passed",""
"1510","Advanced Audit Policy Configuration","Special Logon","Passed","Audit policy set","","Passed",""
"1511","Advanced Audit Policy Configuration","Detailed File Share","Passed","Audit policy set","","Passed",""
"1512","Advanced Audit Policy Configuration","File Share","Passed","Audit policy set","","Passed",""
"1513","Advanced Audit Policy Configuration","Kernel Object","Passed","Audit policy set","","Passed",""
"1514","Advanced Audit Policy Configuration","Other Object Access Events","Passed","Audit policy set","","Passed",""
"1515","Advanced Audit Policy Configuration","Removable Storage","Passed","Audit policy set","","Passed",""
"1516","Advanced Audit Policy Configuration","SAM","Passed","Audit policy set","","Passed",""
"1517","Advanced Audit Policy Configuration","Audit Policy Change","Passed","Audit policy set","","Passed",""
"1518","Advanced Audit Policy Configuration","Authentication Policy Change","Passed","Audit policy set","","Passed",""
"1519","Advanced Audit Policy Configuration","MPSSVC Rule-Level Policy Change","Passed","Audit policy set","","Passed",""
"1520","Advanced Audit Policy Configuration","Other Policy Change Events","Passed","Audit policy set","","Passed",""
"1521","Advanced Audit Policy Configuration","Sensitive Privilege Use","Passed","Audit policy set","","Passed",""
"1522","Advanced Audit Policy Configuration","Other System Events","Passed","Audit policy set","","Passed",""
"1523","Advanced Audit Policy Configuration","Security State Change","Passed","Audit policy set","","Passed",""
"1524","Advanced Audit Policy Configuration","Security System Extension","Passed","Audit policy set","","Passed",""
"1525","Advanced Audit Policy Configuration","System Integrity","Passed","Audit policy set","","Passed",""
"1600","Administrative Templates: Control Panel","Personalization: Prevent enabling lock screen camera","Passed","Registry value created/modified","","Passed",""
"1601","Administrative Templates: Network","DNS Client: Turn off multicast name resolution (LLMNR)","Passed","Registry value created/modified","","Passed",""
"1602","Administrative Templates: Network","Lanman Workstation: Enable insecure guest logons","Passed","Registry value created/modified","","Passed",""
"1603","Administrative Templates: Network","Turn off Microsoft Peer-to-Peer Networking Services","Passed","Registry value created/modified","","Passed",""
"1604","Administrative Templates: Network","WLAN Settings: Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services","Passed","Registry value created/modified","","Passed",""
"1605","Administrative Templates: System","Credentials Delegation: Allow delegation default credentials","Passed","Registry value created/modified","","Passed",""
"1606","Administrative Templates: System","Credentials Delegation: Encryption Oracle Remediation","Passed","Registry value created/modified","","Passed",""
"1607","Administrative Templates: System","Device Installation: Device Installation Restrictions: Prevent installation of devices that match an ID","Passed","Registry value created/modified","","Passed",""
"1608","Administrative Templates: System","Device Installation: Device Installation Restrictions: Prevent installation of devices that match an ID (Retroactive)","Passed","Registry value created/modified","","Passed",""
"1611","Administrative Templates: System","Device Installation: Device Installation Restrictions: Prevent installation of devices using drivers that match an device setup class","Passed","Registry value created/modified","","Passed",""
"1612","Administrative Templates: System","Device Installation: Device Installation Restrictions: Prevent installation of devices using drivers that match an device setup class (Retroactive)","Passed","Registry value created/modified","","Passed",""
"1621","Administrative Templates: System","Device Guard: Secure Launch Configuration (Policy)","Passed","Registry value created/modified","","Passed",""
"1622","Administrative Templates: System","Device Guard: Windows Defender Application Control deployed (Policy)","Passed","Registry value created/modified","","Passed",""
"1623","Administrative Templates: System","Device Guard: Require UEFI Memory Attributes Table (Policy)","Passed","Registry value created/modified","","Passed",""
"1630","Administrative Templates: System","Early Launch Antimalware: Boot-Start Driver Initialization Policy","Passed","Registry value created/modified","","Passed",""
"1631","Administrative Templates: System","Group Policy: Process even if the Group Policy objects have not changed","Passed","Registry value created/modified","","Passed",""
"1632","Administrative Templates: System","Group Policy: Do not apply during periodic background processing","Passed","Registry value created/modified","","Passed",""
"1640","Administrative Templates: System","Internet Communication Management: Internet Communication settings: Turn off the Windows Messenger Customer Experience Improvement Program","Passed","Registry value created/modified","","Passed",""
"1641","Administrative Templates: System","Internet Communication Management: Internet Communication settings: Turn off downloading of print drivers over HTTP","Passed","Registry value created/modified","","Passed",""
"1642","Administrative Templates: System","Internet Communication Management: Internet Communication settings: Turn off Windows Error Reporting 1","Passed","Registry value created/modified","","Passed",""
"1643","Administrative Templates: System","Internet Communication Management: Internet Communication settings: Turn off Windows Error Reporting 2","Passed","Registry value created/modified","","Passed",""
"1644","Administrative Templates: System","Internet Communication Management: Internet Communication settings: Turn off Internet download for Web publishing and online ordering wizards","Passed","Registry value created/modified","","Passed",""
"1645","Administrative Templates: System","Internet Communication Management: Internet Communication settings: Turn off Windows Customer Experience Improvement Program","Passed","Registry value created/modified","","Passed",""
"1650","Administrative Templates: System","Kernel DMA Protection: Enumeration policy for external devices incompatible with Kernel DMA Protection","Passed","Registry value created/modified","","Passed",""
"1660","Administrative Templates: System","Logon: Turn on convenience PIN sign-in","Passed","Registry value created/modified","","Passed",""
"1661","Administrative Templates: System","Logon: Turn off app notifications on the lock screen","Passed","Registry value created/modified","","Passed",""
"1670","Administrative Templates: System","Mitigation Options: Untrusted Font Blocking","Passed","Registry value created/modified","","Passed",""
"1680","Administrative Templates: System","OS Policies: Allow Clipboard synchronization across devices","Passed","Registry value created/modified","","Passed",""
"1685","Administrative Templates: System","Sleep Settings: Require a password when a computer wakes (plugged in)","Passed","Registry value created/modified","","Passed",""
"1686","Administrative Templates: System","Sleep Settings: Require a password when a computer wakes (on battery)","Passed","Registry value created/modified","","Passed",""
"1687","Administrative Templates: System","Sleep Settings: Allow standby states (S1-S3) when sleeping (plugged in)","Passed","Registry value created/modified","","Passed",""
"1688","Administrative Templates: System","Sleep Settings: Allow standby states (S1-S3) when sleeping (on battery)","Passed","Registry value created/modified","","Passed",""
"1690","Administrative Templates: System","Remote Assistance: Configure Offer Remote Assistance","Passed","Registry value created/modified","","Passed",""
"1691","Administrative Templates: System","Remote Assistance: Configure Solicited Remote Assistance","Passed","Registry value created/modified","","Passed",""
"1692","Administrative Templates: System","Remote Procedure Call: Enable RPC Endpoint Mapper Client Authentication","Passed","Registry value created/modified","","Passed",""
"1693","Administrative Templates: System","Remote Procedure Call: Restrict Unauthenticated RPC clients","Passed","Registry value created/modified","","Passed",""
"1694","Administrative Templates: System","Security Settings: Enable svchost.exe mitigation options","Passed","Registry value created/modified","","Passed",""
"1695","Administrative Templates: System","Windows Performance PerfTrack: Enable/Disable PerfTrack","Passed","Registry value created/modified","","Passed",""
"1696","Administrative Templates: System","User Profiles: Turn off the advertising ID","Passed","Registry value created/modified","","Passed",""
"1697","Administrative Templates: System","Time Providers: Enable Windows NTP Client","Passed","Registry value created/modified","","Passed",""
"1698","Administrative Templates: System","Time Providers: Enable Windows NTP Server","Passed","Registry value created/modified","","Passed",""
"1700","Administrative Templates: Windows Components","App Package Deployment: Allow a Windows app to share application data between users","Passed","Registry value created/modified","","Passed",""
"1701","Administrative Templates: Windows Components","App Privacy: Let Windows apps activate with voice while the system is locked","Passed","Registry value created/modified","","Passed",""
"1702","Administrative Templates: Windows Components","App runtime: Block launching Universal Windows apps with Windows Runtime API access from hosted content","Passed","Registry value created/modified","","Passed",""
"1703","Administrative Templates: Windows Components","Application Compatibility: Turn off Application Telemetry","Passed","Registry value created/modified","","Passed",""
"1704","Administrative Templates: Windows Components","AutoPlay Policies: Turn off Autoplay","Passed","Registry value created/modified","","Passed",""
"1705","Administrative Templates: Windows Components","AutoPlay Policies: Disallow Autoplay for non-volume devices","Passed","Registry value created/modified","","Passed",""
"1706","Administrative Templates: Windows Components","AutoPlay Policies: Set the default behavior for AutoRun","Passed","Registry value created/modified","","Passed",""
"1707","Administrative Templates: Windows Components","Biometrics: Allow the use of biometrics","Passed","Registry value created/modified","","Passed",""
"1709","Administrative Templates: Windows Components","BitLocker Drive Encryption: Disable new DMA devices when this computer is locked","Passed","Registry value created/modified","","Passed",""
"1710","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Allow Secure Boot for integrity validation","Passed","Registry value created/modified","","Passed",""
"1711","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Require additional authentication at startup","Passed","Registry value created/modified","","Passed",""
"1712","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Allow enhanced PINs for startup","Passed","Registry value created/modified","","Passed",""
"1713","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Configure use of hardware-based encryption for operating system drives","Passed","Registry value created/modified","","Passed",""
"1715","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Require additional authentication at startup: Allow BitLocker without a compatible TPM","Passed","Registry value created/modified","","Passed",""
"1716","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Require additional authentication at startup: Configure TPM startup","Passed","Registry value created/modified","","Passed",""
"1717","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Require additional authentication at startup: Configure TPM startup PIN","Passed","Registry value created/modified","","Passed",""
"1718","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Require additional authentication at startup: Configure TPM startup key","Passed","Registry value created/modified","","Passed",""
"1719","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Require additional authentication at startup: Configure TPM startup key and PIN","Passed","Registry value created/modified","","Passed",""
"1720","Administrative Templates: Windows Components","Cloud Content: Do not show Windows tips","Passed","Registry value created/modified","","Passed",""
"1721","Administrative Templates: Windows Components","Cloud Content: Turn off Microsoft consumer experiences","Passed","Registry value created/modified","","Passed",""
"1722","Administrative Templates: Windows Components","Credential User Interface: Do not display the password reveal button","Passed","Registry value created/modified","","Passed",""
"1724","Administrative Templates: Windows Components","Credential User Interface: Enumerate administrator accounts on elevation","Passed","Registry value created/modified","","Passed",""
"1725","Administrative Templates: Windows Components","Data Collection and Preview Builds: Allow Diagnostic Data","Passed","Registry value created/modified","","Passed",""
"1726","Administrative Templates: Windows Components","Data Collection and Preview Builds: Allow device name to be sent in Windows diagnostic data","Passed","Registry value created/modified","","Passed",""
"1727","Administrative Templates: Windows Components","Delivery Optimization: Download Mode","Passed","Registry value created/modified","","Passed",""
"1728","Administrative Templates: Windows Components","Event Log Service: Application: Specify the maximum log file size (KB)","Passed","Registry value created/modified","","Passed",""
"1729","Administrative Templates: Windows Components","Event Log Service: Security: Specify the maximum log file size (KB)","Passed","Registry value created/modified","","Passed",""
"1730","Administrative Templates: Windows Components","Event Log Service: System: Specify the maximum log file size (KB)","Passed","Registry value created/modified","","Passed",""
"1731","Administrative Templates: Windows Components","File Explorer: Allow the use of remote paths in file shortcut icons","Passed","Registry value created/modified","","Passed",""
"1732","Administrative Templates: Windows Components","HomeGroup: Prevent the computer from joining a homegroup","Passed","Registry value created/modified","","Passed",""
"1733","Administrative Templates: Windows Components","OneDrive: Prevent the usage of OneDrive for file storage","Passed","Registry value created/modified","","Passed",""
"1734","Administrative Templates: Windows Components","Remote Desktop Connection Client: Do not allow passwords to be saved","Passed","Registry value created/modified","","Passed",""
"1735","Administrative Templates: Windows Components","Remote Desktop Session Host: Allow users to connect remotely by using Remote Desktop Services","Passed","Registry value created/modified","","Passed",""
"1736","Administrative Templates: Windows Components","Remote Desktop Session Host: Device and Resource Redirection: Do not allow drive redirection","Passed","Registry value created/modified","","Passed",""
"1737","Administrative Templates: Windows Components","Remote Desktop Session Host: Security: Always prompt for password upon connection","Passed","Registry value created/modified","","Passed",""
"1738","Administrative Templates: Windows Components","Remote Desktop Session Host: Security: Require secure RPC communication","Passed","Registry value created/modified","","Passed",""
"1739","Administrative Templates: Windows Components","Remote Desktop Session Host: Security: Set client connection encryption level","Passed","Registry value created/modified","","Passed",""
"1740","Administrative Templates: Windows Components","Search: Allow Cloud Search","Passed","Registry value created/modified","","Passed",""
"1741","Administrative Templates: Windows Components","Search: Allow Cortana","Passed","Registry value created/modified","","Passed",""
"1742","Administrative Templates: Windows Components","Search: Allow Cortana above lock screen","Passed","Registry value created/modified","","Passed",""
"1743","Administrative Templates: Windows Components","Search: Allow indexing of encrypted files","Passed","Registry value created/modified","","Passed",""
"1744","Administrative Templates: Windows Components","Search: Allow search and Cortana to use location","Passed","Registry value created/modified","","Passed",""
"1745","Administrative Templates: Windows Components","Search: Set what information is shared in Search","Passed","Registry value created/modified","","Passed",""
"1746","Administrative Templates: Windows Components","Windows Error Reporting: Disable Windows Error Reporting","Passed","Registry value created/modified","","Passed",""
"1747","Administrative Templates: Windows Components","Windows Game Recording and Broadcasting: Enables or disables Windows Game Recording and Broadcasting","Passed","Registry value created/modified","","Passed",""
"1748","Administrative Templates: Windows Components","Windows Ink Workspace: Allow Windows Ink Workspace","Passed","Registry value created/modified","","Passed",""
"1750","Administrative Templates: Windows Components","Windows Installer: Allow user control over installs","Passed","Registry value created/modified","","Passed",""
"1751","Administrative Templates: Windows Components","Windows Installer: Prevent Internet Explorer security prompt for Windows Installer scripts","Passed","Registry value created/modified","","Passed",""
"1752","Administrative Templates: Windows Components","Windows Logon Options: Sign-in and lock last interactive user automatically after a restart","Passed","Registry value created/modified","","Passed",""
"1753","Administrative Templates: Windows Components","WinRM Client: Allow Basic authentication","Passed","Registry value created/modified","","Passed",""
"1754","Administrative Templates: Windows Components","WinRM Client: Allow unencrypted traffic","Passed","Registry value created/modified","","Passed",""
"1755","Administrative Templates: Windows Components","WinRM Client: Disallow Digest authentication","Passed","Registry value created/modified","","Passed",""
"1756","Administrative Templates: Windows Components","WinRM Service: Allow remote server management through WinRM","Passed","Registry value created/modified","","Passed",""
"1757","Administrative Templates: Windows Components","WinRM Service: Allow Basic authentication","Passed","Registry value created/modified","","Passed",""
"1758","Administrative Templates: Windows Components","WinRM Service: Allow unencrypted traffic","Passed","Registry value created/modified","","Passed",""
"1759","Administrative Templates: Windows Components","WinRM Service: Disallow WinRM from storing RunAs credentials","Passed","Registry value created/modified","","Passed",""
"1760","Administrative Templates: Windows Components","Windows Remote Shell: Allow Remote Shell Access","Passed","Registry value created/modified","","Passed",""
"1761","Administrative Templates: Windows Components","BitLocker Drive Encryption: Choose drive encryption method and cipher strength (for operating system drives)","Passed","Registry value created/modified","","Passed",""
"1763","Administrative Templates: Windows Components","BitLocker Drive Encryption: Operating System Drives: Configure minimum PIN length for startup","Passed","Registry value created/modified","","Passed",""
"1764","Administrative Templates: Printer","Point and Print Restrictions: When installing drivers for a new connection (CVE-2021-34527)","Passed","Registry value created/modified","","Passed",""
"1765","Administrative Templates: Printer","Point and Print Restrictions: When updating drivers for an existing connection (CVE-2021-34527)","Passed","Registry value created/modified","","Passed",""
"1766","Administrative Templates: Printer","Point and Print Restrictions: Only administrators can install printer drivers on a print server (CVE-2021-34527)","Passed","Registry value created/modified","","Passed",""
"1767","Administrative Templates: Windows Components","News and interests: Enable news and interests on the taskbar","Passed","Registry value created/modified","","Passed",""
"1768","Administrative Templates: Printer","Only use Package Point and Print (CVE-2021-36958)","Passed","Registry value created/modified","","Passed",""
"1769","Administrative Templates: Printer","Package Point and Print - Approved servers (CVE-2021-36958)","Passed","Registry value created/modified","","Passed",""
"1770","Administrative Templates: Windows Components","Windows Installer: Disable Co-Installer (USB AutoInstall)","Passed","Registry value created/modified","","Passed",""
"1771","Administrative Templates: Start Menu and Taskbar","Notifications: Turn off notifications network usage","Passed","Registry value created/modified","","Passed",""
"1800","Microsoft Defender Antivirus","Turn off Microsoft Defender Antivirus","Passed","Registry value created/modified","","Passed",""
"1800","Microsoft Defender Antivirus","Turn off Microsoft Defender Antivirus","Passed","Registry value created/modified","","Passed",""
"1801","Microsoft Defender Antivirus","Configure detection for potentially unwanted applications","Passed","Registry value created/modified","","Passed",""
"1802","Microsoft Defender Antivirus","Cloud-delivered protection","Passed","Method value modified","","Passed",""
"1804","Microsoft Defender Antivirus","Controlled folder access","Passed","Method value modified","","Passed",""
"1805","Microsoft Defender Antivirus","Real time monitoring","Passed","Method value modified","","Passed",""
"1806","Microsoft Defender Antivirus","Exclusions: Extension Exclusions (Policy)","Passed","Registry value created/modified","","Passed",""
"1812","Microsoft Defender Antivirus","Enable sandboxing for Microsoft Defender Antivirus","Passed","Registry value created/modified","","Passed",""
"1952","Microsoft Defender Exploit Guard","Exploit protection: Override Data Execution Prevention (DEP)","Passed","setting added to list","","Passed",""
"1953","Microsoft Defender Exploit Guard","Force use of Data Execution Prevention (DEP)","Passed","Setting is already set correct","","Passed",""
"1955","Microsoft Defender Exploit Guard","Exploit protection: Override force randomization for images (Mandatory ASLR)","Passed","setting added to list","","Passed",""
"1957","Microsoft Defender Exploit Guard","Exploit protection: Override randomize memory allocations (Bottom-up ASLR)","Passed","setting added to list","","Passed",""
"1959","Microsoft Defender Exploit Guard","Exploit protection: Override high-entropy ASLR","Passed","setting added to list","","Passed",""
"1962","Microsoft Defender Exploit Guard","Exploit protection: Override validate exception chains (SEHOP)","Passed","setting added to list","","Passed",""
"1964","Microsoft Defender Exploit Guard","Exploit protection: Override validate heap integrity","Passed","setting added to list","","Passed",""
"1965","Microsoft Defender Exploit Guard","Network Protection: Prevent users and apps from accessing dangerous websites","Passed","Registry value created/modified","","Passed",""
"1966","Microsoft Defender Exploit Guard","ASR: Exclude files and paths from Attack Surface Reduction Rules (Policy)","Passed","Registry value created/modified","","Passed",""
"1968","Microsoft Defender Exploit Guard","ASR: Exclude files and paths from Attack Surface Reduction Rules (Intune)","Passed","Registry value created/modified","","Passed",""
"1980","Microsoft Defender Application Guard","Support for Microsoft Defender Application Guard","Passed","Feature is already installed","","Passed",""
"1981","Microsoft Defender Application Guard","Turn on Microsoft Defender Application Guard in Managed Mode","Passed","Registry value created/modified","","Passed",""
"1982","Microsoft Defender Application Guard","Allow auditing events in Microsoft Defender Application Guard","Passed","Registry value created/modified","","Passed",""
"2000","Administrative Templates: Windows Components","File Explorer: Configure Windows Defender SmartScreen","Passed","Registry value created/modified","","Passed",""
"2001","Administrative Templates: Windows Components","File Explorer: Configure Windows Defender SmartScreen to warn and prevent bypass","Passed","Registry value created/modified","","Passed",""
"2100","PowerShell","Turn on PowerShell Script Block Logging","Passed","Registry value created/modified","","Passed",""
"2101","PowerShell","Turn on PowerShell Script Block Logging (Invocation)","Passed","Registry value created/modified","","Passed",""
"2102","PowerShell","Turn on PowerShell Transcription","Passed","Registry value created/modified","","Passed",""
"2103","PowerShell","Disable PowerShell version 2","Passed","Feature is not installed","","Passed",""
"2104","PowerShell","Disable PowerShell version 2 (root)","Passed","Feature is not installed","","Passed",""
"2200","MS Security Guide","LSA Protection","Passed","Registry value created/modified","","Passed",""
"2201","MS Security Guide","Lsass.exe audit mode","Passed","Registry value created/modified","","Passed",""
"2202","MS Security Guide","NetBT NodeType configuration","Passed","Registry value created/modified","","Passed",""
"2203","MS Security Guide","WDigest Authentication","Passed","Registry value created/modified","","Passed",""
"2204","MSS (Legacy)","MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)","Passed","Registry value created/modified","","Passed",""
"2205","MSS (Legacy)","MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)","Passed","Registry value created/modified","","Passed",""
"2206","MSS (Legacy)","MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)","Passed","Registry value created/modified","","Passed",""
